Type,Family,Cost,Cut Length,Structural Material,Count
IPE 300,IPE - Secciones en I con alas paralelas,250,2874,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,974,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,2874,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,974,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,2874,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,3179,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,3340,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,2814,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,914,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,2814,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,914,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,2814,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,3092,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,3179,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,2874,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,974,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,3179,Metal - Acero - 345 MPa,1
IPE 270,IPE - Secciones en I con alas paralelas,270,3179,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,2874,Metal - Acero - 345 MPa,1
IPE 270,IPE - Secciones en I con alas paralelas,270,3179,Metal - Acero - 345 MPa,1
IPE 270,IPE - Secciones en I con alas paralelas,270,3179,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,974,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,2874,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,3100,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,914,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,2814,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,914,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,2814,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,3092,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,3092,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,3092,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,3092,Metal - Acero - 345 MPa,1
IPE 220,IPE - Secciones en I con alas paralelas,310,2931,Metal - Acero - 345 MPa,1
IPE 220,IPE - Secciones en I con alas paralelas,310,824,Metal - Acero - 345 MPa,1
IPE 220,IPE - Secciones en I con alas paralelas,310,824,Metal - Acero - 345 MPa,1
IPE 220,IPE - Secciones en I con alas paralelas,310,824,Metal - Acero - 345 MPa,1
IPE 220,IPE - Secciones en I con alas paralelas,310,2259,Metal - Acero - 345 MPa,1
HE140B,H-Wide Flange Beams,150,1944,Metal - Acero - 345 MPa,1
IPE 220,IPE - Secciones en I con alas paralelas,310,1766,Metal - Acero - 345 MPa,1
HE140B,H-Wide Flange Beams,150,705,Metal - Acero - 345 MPa,1
CHS139.7x6.3,CHS-Circular Hollow Sections,101,3311,Metal - Acero - 345 MPa,1
CHS139.7x6.3,CHS-Circular Hollow Sections,101,3514,Metal - Acero - 345 MPa,1
CHS114.3x6.3,CHS-Circular Hollow Sections,265,3779,Metal - Acero - 345 MPa,1
CHS114.3x6.3,CHS-Circular Hollow Sections,265,3331,Metal - Acero - 345 MPa,1
CHS114.3x6.3,CHS-Circular Hollow Sections,265,3331,Metal - Acero - 345 MPa,1
IPE 220,IPE - Secciones en I con alas paralelas,310,1142,Metal - Acero - 345 MPa,1
IPE 220,IPE - Secciones en I con alas paralelas,310,1049,Metal - Acero - 345 MPa,1
